"","WORDSUM","AGE","SEX","RACE","EDUC","YEAR","B.YEAR"
"1","9","21","MALE","WHITE","14",1974,NA
"2","9","41","MALE","WHITE","16",1974,NA
"3","9","83","FEMALE","WHITE","10",1974,NA
"4","5","69","FEMALE","WHITE","10",1974,NA
"5","8","58","FEMALE","WHITE","12",1974,NA
"6","8","30","MALE","WHITE","16",1974,NA
"7","9","48","MALE","WHITE","17",1974,NA
"8","5","67","MALE","WHITE","10",1974,NA
"9","3","51","FEMALE","WHITE","12",1974,NA
"10","5","54","FEMALE","WHITE","11",1974,NA
"11","5","89 OR OLDER","MALE","BLACK","6",1974,NA
"12","5","71","MALE","BLACK","5",1974,NA
"13","6","27","FEMALE","BLACK","11",1974,NA
"14","5","30","FEMALE","BLACK","12",1974,NA
"15","5","22","FEMALE","BLACK","14",1974,NA
"16","1","23","MALE","WHITE","12",1974,NA
"17","4","63","MALE","WHITE","8",1974,NA
"18","1","80","MALE","WHITE","0",1974,NA
"19","1","71","FEMALE","WHITE","8",1974,NA
"20","3","48","FEMALE","BLACK","10",1974,NA
"21","5","25","MALE","BLACK","8",1974,NA
"22","6","72","MALE","BLACK","12",1974,NA
"23","1","73","FEMALE","BLACK","3",1974,NA
"24","5","31","FEMALE","BLACK","8",1974,NA
"25","5","65","FEMALE","BLACK","3",1974,NA
"26","2","59","MALE","WHITE","9",1974,NA
"27","7","53","MALE","WHITE","15",1974,NA
"28","4","60","FEMALE","WHITE","7",1974,NA
"29","5","54","FEMALE","WHITE","12",1974,NA
"30","7","35","FEMALE","WHITE","13",1974,NA
"31","6","51","MALE","WHITE","12",1974,NA
"33","3","21","FEMALE","WHITE","12",1974,NA
"34","4","72","FEMALE","WHITE","8",1974,NA
"35","6","48","FEMALE","OTHER","12",1974,NA
"36","6","26","MALE","WHITE","10",1974,NA
"37","8","39","MALE","WHITE","14",1974,NA
"38","8","58","FEMALE","WHITE","12",1974,NA
"39","6","40","FEMALE","WHITE","8",1974,NA
"40","9","23","FEMALE","WHITE","16",1974,NA
"41","8","28","MALE","WHITE","16",1974,NA
"42","9","47","MALE","WHITE","17",1974,NA
"43","8","67","MALE","WHITE","13",1974,NA
"44","5","54","FEMALE","WHITE","12",1974,NA
"45","7","50","FEMALE","WHITE","12",1974,NA
"46","6","32","MALE","WHITE","14",1974,NA
"47","6","67","MALE","WHITE","13",1974,NA
"48","2","70","MALE","WHITE","10",1974,NA
"49","3","36","FEMALE","WHITE","8",1974,NA
"50","6","57","FEMALE","WHITE","12",1974,NA
"51","5","22","MALE","WHITE","14",1974,NA
"52","5","58","MALE","WHITE","14",1974,NA
"53","8","71","FEMALE","WHITE","12",1974,NA
"54","8","83","FEMALE","WHITE","14",1974,NA
"55","7","52","FEMALE","WHITE","15",1974,NA
"56","3","59","MALE","BLACK","14",1974,NA
"57","2","83","MALE","BLACK","5",1974,NA
"58","3","67","FEMALE","BLACK","8",1974,NA
"59","4","61","FEMALE","BLACK","9",1974,NA
"60","1","55","FEMALE","BLACK","14",1974,NA
"61","6","57","MALE","WHITE","12",1974,NA
"62","4","52","MALE","WHITE","12",1974,NA
"63","6","69","FEMALE","WHITE","13",1974,NA
"64","6","40","FEMALE","WHITE","12",1974,NA
"65","6","63","FEMALE","WHITE","11",1974,NA
"66","8","24","MALE","WHITE","16",1974,NA
"67","8","72","MALE","WHITE","17",1974,NA
"68","9","51","MALE","WHITE","14",1974,NA
"69","10","29","FEMALE","WHITE","16",1974,NA
"70","10","29","FEMALE","WHITE","16",1974,NA
"71","4","18","MALE","WHITE","11",1974,NA
"72","5","54","MALE","WHITE","12",1974,NA
"73","6","36","FEMALE","WHITE","12",1974,NA
"75","7","66","FEMALE","WHITE","11",1974,NA
"76","9","66","MALE","WHITE","12",1974,NA
"77","2","39","MALE","WHITE","12",1974,NA
"78","5","37","MALE","WHITE","12",1974,NA
"79","4","52","FEMALE","WHITE","8",1974,NA
"80","6","71","FEMALE","WHITE","7",1974,NA
"81","5","66","MALE","WHITE","11",1974,NA
"82","5","52","MALE","WHITE","12",1974,NA
"83","8","52","FEMALE","WHITE","11",1974,NA
"84","5","50","FEMALE","WHITE","12",1974,NA
"85","8","32","FEMALE","WHITE","13",1974,NA
"86","9","32","MALE","WHITE","20",1974,NA
"87","10","58","MALE","WHITE","16",1974,NA
"88","3","45","FEMALE","WHITE","9",1974,NA
"89","6","31","FEMALE","WHITE","12",1974,NA
"90","9","29","FEMALE","WHITE","16",1974,NA
"91","4","30","MALE","WHITE","11",1974,NA
"92","1","65","MALE","WHITE","4",1974,NA
"93","3","30","FEMALE","WHITE","9",1974,NA
"94","3","22","FEMALE","WHITE","10",1974,NA
"95","6","23","FEMALE","WHITE","14",1974,NA
"96","2","18","MALE","WHITE","11",1974,NA
"97","5","65","MALE","WHITE","7",1974,NA
"98","4","43","MALE","WHITE","3",1974,NA
"99","4","30","FEMALE","WHITE","10",1974,NA
"100","5","21","FEMALE","WHITE","12",1974,NA
"101","9","26","MALE","WHITE","16",1974,NA
"102","4","55","MALE","WHITE","10",1974,NA
"103","5","37","MALE","WHITE","15",1974,NA
"104","6","23","FEMALE","WHITE","14",1974,NA
"105","8","34","FEMALE","WHITE","12",1974,NA
"106","9","27","MALE","WHITE","14",1974,NA
"107","3","42","MALE","BLACK","14",1974,NA
"108","6","43","MALE","WHITE","12",1974,NA
"109","4","19","FEMALE","WHITE","12",1974,NA
"110","6","44","FEMALE","BLACK","16",1974,NA
"111","6","28","MALE","WHITE","20",1974,NA
"112","10","56","MALE","WHITE","16",1974,NA
"113","6","58","MALE","WHITE","18",1974,NA
"114","6","53","FEMALE","WHITE","12",1974,NA
"115","3","25","FEMALE","WHITE","12",1974,NA
"116","6","31","MALE","WHITE","12",1974,NA
"117","10","54","MALE","WHITE","20",1974,NA
"118","7","28","FEMALE","WHITE","12",1974,NA
"119","6","27","FEMALE","WHITE","17",1974,NA
"121","6","50","MALE","WHITE","11",1974,NA
"122","7","50","MALE","WHITE","12",1974,NA
"123","5","68","FEMALE","WHITE","12",1974,NA
"124","4","27","FEMALE","WHITE","8",1974,NA
"125","4","20","FEMALE","WHITE","12",1974,NA
"126","2","27","MALE","WHITE","12",1974,NA
"127","6","23","MALE","WHITE","16",1974,NA
"128","3","43","MALE","WHITE","9",1974,NA
