"","WORDSUM","AGE","SEX","RACE","EDUC","YEAR"
"1","9","21","MALE","WHITE","14",1974
"2","9","41","MALE","WHITE","16",1974
"3","9","83","FEMALE","WHITE","10",1974
"4","5","69","FEMALE","WHITE","10",1974
"5","8","58","FEMALE","WHITE","12",1974
"6","8","30","MALE","WHITE","16",1974
"7","9","48","MALE","WHITE","17",1974
"8","5","67","MALE","WHITE","10",1974
"9","3","51","FEMALE","WHITE","12",1974
"10","5","54","FEMALE","WHITE","11",1974
"11","5","89 OR OLDER","MALE","BLACK","6",1974
"12","5","71","MALE","BLACK","5",1974
"13","6","27","FEMALE","BLACK","11",1974
"14","5","30","FEMALE","BLACK","12",1974
"15","5","22","FEMALE","BLACK","14",1974
"16","1","23","MALE","WHITE","12",1974
"17","4","63","MALE","WHITE","8",1974
"18","1","80","MALE","WHITE","0",1974
"19","1","71","FEMALE","WHITE","8",1974
"20","3","48","FEMALE","BLACK","10",1974
"21","5","25","MALE","BLACK","8",1974
"22","6","72","MALE","BLACK","12",1974
"23","1","73","FEMALE","BLACK","3",1974
"24","5","31","FEMALE","BLACK","8",1974
"25","5","65","FEMALE","BLACK","3",1974
"26","2","59","MALE","WHITE","9",1974
"27","7","53","MALE","WHITE","15",1974
"28","4","60","FEMALE","WHITE","7",1974
"29","5","54","FEMALE","WHITE","12",1974
"30","7","35","FEMALE","WHITE","13",1974
"31","6","51","MALE","WHITE","12",1974
"32",NA,"58","MALE","WHITE","8",1974
"33","3","21","FEMALE","WHITE","12",1974
"34","4","72","FEMALE","WHITE","8",1974
"35","6","48","FEMALE","OTHER","12",1974
"36","6","26","MALE","WHITE","10",1974
"37","8","39","MALE","WHITE","14",1974
"38","8","58","FEMALE","WHITE","12",1974
"39","6","40","FEMALE","WHITE","8",1974
"40","9","23","FEMALE","WHITE","16",1974
"41","8","28","MALE","WHITE","16",1974
"42","9","47","MALE","WHITE","17",1974
"43","8","67","MALE","WHITE","13",1974
"44","5","54","FEMALE","WHITE","12",1974
"45","7","50","FEMALE","WHITE","12",1974
"46","6","32","MALE","WHITE","14",1974
"47","6","67","MALE","WHITE","13",1974
"48","2","70","MALE","WHITE","10",1974
"49","3","36","FEMALE","WHITE","8",1974
"50","6","57","FEMALE","WHITE","12",1974
"51","5","22","MALE","WHITE","14",1974
"52","5","58","MALE","WHITE","14",1974
"53","8","71","FEMALE","WHITE","12",1974
"54","8","83","FEMALE","WHITE","14",1974
"55","7","52","FEMALE","WHITE","15",1974
"56","3","59","MALE","BLACK","14",1974
"57","2","83","MALE","BLACK","5",1974
"58","3","67","FEMALE","BLACK","8",1974
"59","4","61","FEMALE","BLACK","9",1974
"60","1","55","FEMALE","BLACK","14",1974
"61","6","57","MALE","WHITE","12",1974
"62","4","52","MALE","WHITE","12",1974
"63","6","69","FEMALE","WHITE","13",1974
"64","6","40","FEMALE","WHITE","12",1974
"65","6","63","FEMALE","WHITE","11",1974
"66","8","24","MALE","WHITE","16",1974
"67","8","72","MALE","WHITE","17",1974
"68","9","51","MALE","WHITE","14",1974
"69","10","29","FEMALE","WHITE","16",1974
"70","10","29","FEMALE","WHITE","16",1974
"71","4","18","MALE","WHITE","11",1974
"72","5","54","MALE","WHITE","12",1974
"73","6","36","FEMALE","WHITE","12",1974
"74",NA,"27","FEMALE","WHITE","12",1974
"75","7","66","FEMALE","WHITE","11",1974
"76","9","66","MALE","WHITE","12",1974
"77","2","39","MALE","WHITE","12",1974
"78","5","37","MALE","WHITE","12",1974
"79","4","52","FEMALE","WHITE","8",1974
"80","6","71","FEMALE","WHITE","7",1974
"81","5","66","MALE","WHITE","11",1974
"82","5","52","MALE","WHITE","12",1974
"83","8","52","FEMALE","WHITE","11",1974
"84","5","50","FEMALE","WHITE","12",1974
"85","8","32","FEMALE","WHITE","13",1974
"86","9","32","MALE","WHITE","20",1974
"87","10","58","MALE","WHITE","16",1974
"88","3","45","FEMALE","WHITE","9",1974
"89","6","31","FEMALE","WHITE","12",1974
"90","9","29","FEMALE","WHITE","16",1974
"91","4","30","MALE","WHITE","11",1974
"92","1","65","MALE","WHITE","4",1974
"93","3","30","FEMALE","WHITE","9",1974
"94","3","22","FEMALE","WHITE","10",1974
"95","6","23","FEMALE","WHITE","14",1974
"96","2","18","MALE","WHITE","11",1974
"97","5","65","MALE","WHITE","7",1974
"98","4","43","MALE","WHITE","3",1974
"99","4","30","FEMALE","WHITE","10",1974
"100","5","21","FEMALE","WHITE","12",1974
"101","9","26","MALE","WHITE","16",1974
"102","4","55","MALE","WHITE","10",1974
"103","5","37","MALE","WHITE","15",1974
"104","6","23","FEMALE","WHITE","14",1974
"105","8","34","FEMALE","WHITE","12",1974
"106","9","27","MALE","WHITE","14",1974
"107","3","42","MALE","BLACK","14",1974
"108","6","43","MALE","WHITE","12",1974
"109","4","19","FEMALE","WHITE","12",1974
"110","6","44","FEMALE","BLACK","16",1974
"111","6","28","MALE","WHITE","20",1974
"112","10","56","MALE","WHITE","16",1974
"113","6","58","MALE","WHITE","18",1974
"114","6","53","FEMALE","WHITE","12",1974
"115","3","25","FEMALE","WHITE","12",1974
"116","6","31","MALE","WHITE","12",1974
"117","10","54","MALE","WHITE","20",1974
"118","7","28","FEMALE","WHITE","12",1974
"119","6","27","FEMALE","WHITE","17",1974
"120",NA,NA,"FEMALE","WHITE","12",1974
"121","6","50","MALE","WHITE","11",1974
"122","7","50","MALE","WHITE","12",1974
