"","X","WORDSUM","AGE","SEX","RACE","EDUC","YEAR","AGE.Recode","MALE","RACE.Recode","BIRTH","COHORT","COHORT.S"
"1",1,9,"21","MALE","WHITE",14,1974,21,"1","2",1953," 1950 - 1954 ",1950
"2",2,9,"41","MALE","WHITE",16,1974,41,"1","2",1933," 1930 - 1934 ",1930
"3",3,9,"83","FEMALE","WHITE",10,1974,83,"0","2",1891,"- 1894",1890
"4",4,5,"69","FEMALE","WHITE",10,1974,69,"0","2",1905," 1905 - 1909 ",1905
"5",5,8,"58","FEMALE","WHITE",12,1974,58,"0","2",1916," 1915 - 1919 ",1915
"6",6,8,"30","MALE","WHITE",16,1974,30,"1","2",1944," 1940 - 1944 ",1940
"7",7,9,"48","MALE","WHITE",17,1974,48,"1","2",1926," 1925 - 1929 ",1925
"8",8,5,"67","MALE","WHITE",10,1974,67,"1","2",1907," 1905 - 1909 ",1905
"9",9,3,"51","FEMALE","WHITE",12,1974,51,"0","2",1923," 1920 - 1924 ",1920
"10",10,5,"54","FEMALE","WHITE",11,1974,54,"0","2",1920," 1920 - 1924 ",1920
"11",11,5,"89 OR OLDER","MALE","BLACK",6,1974,89,"1","1",1885,"- 1894",1890
"12",12,5,"71","MALE","BLACK",5,1974,71,"1","1",1903," 1900 - 1904 ",1900
"13",13,6,"27","FEMALE","BLACK",11,1974,27,"0","1",1947," 1945 - 1949 ",1945
"14",14,5,"30","FEMALE","BLACK",12,1974,30,"0","1",1944," 1940 - 1944 ",1940
"15",15,5,"22","FEMALE","BLACK",14,1974,22,"0","1",1952," 1950 - 1954 ",1950
"16",16,1,"23","MALE","WHITE",12,1974,23,"1","2",1951," 1950 - 1954 ",1950
"17",17,4,"63","MALE","WHITE",8,1974,63,"1","2",1911," 1910 - 1914 ",1910
"18",18,1,"80","MALE","WHITE",0,1974,80,"1","2",1894,"- 1894",1890
"19",19,1,"71","FEMALE","WHITE",8,1974,71,"0","2",1903," 1900 - 1904 ",1900
"20",20,3,"48","FEMALE","BLACK",10,1974,48,"0","1",1926," 1925 - 1929 ",1925
"21",21,5,"25","MALE","BLACK",8,1974,25,"1","1",1949," 1945 - 1949 ",1945
"22",22,6,"72","MALE","BLACK",12,1974,72,"1","1",1902," 1900 - 1904 ",1900
"23",23,1,"73","FEMALE","BLACK",3,1974,73,"0","1",1901," 1900 - 1904 ",1900
"24",24,5,"31","FEMALE","BLACK",8,1974,31,"0","1",1943," 1940 - 1944 ",1940
"25",25,5,"65","FEMALE","BLACK",3,1974,65,"0","1",1909," 1905 - 1909 ",1905
"26",26,2,"59","MALE","WHITE",9,1974,59,"1","2",1915," 1915 - 1919 ",1915
"27",27,7,"53","MALE","WHITE",15,1974,53,"1","2",1921," 1920 - 1924 ",1920
